Product Description,Company,Model,Color,RAM,ROM,Offers,Price,Exchange Offer,Ratings
"REDMI 9 Power (Mighty Black, 128 GB)",REDMI , 9 Power ,Mighty Black,6 GB,128 GB,23% off,"₹12,999","Upto ₹12,250 Off on Exchange",4.3
"realme 8 5G (Supersonic Blue, 128 GB)",realme , 8 5G ,Supersonic Blue,4 GB,128 GB,11% off,"₹14,999","Upto ₹14,450 Off on Exchange",4.3
"OPPO A53s 5G (Ink Black, 128 GB)",OPPO , A53s 5G ,Ink Black,6 GB,128 GB,11% off,"₹14,990","Upto ₹14,450 Off on Exchange",4.3
"OPPO A53 (Mint Cream, 128 GB)",OPPO , A53 ,Mint Cream,6 GB,128 GB,27% off,"₹12,990","Upto ₹12,250 Off on Exchange",4.4
"GIONEE Max Pro (Red, 32 GB)",GIONEE , Max Pro ,Red,3 GB,32 GB,35% off,"₹6,499","Upto ₹5,900 Off on Exchange",3.9
LAVA A1,LAVA , A1,,,,14% off,₹988,,4.2
LAVA A1,LAVA , A1,,,,14% off,₹988,,4.2
LAVA A1,LAVA , A1,,,,14% off,₹988,,4.2
LAVA A1,LAVA , A1,,,,14% off,₹988,,4.2
"realme 8 (Cyber Black, 128 GB)",realme , 8 ,Cyber Black,4 GB,128 GB,17% off,"₹13,999","Upto ₹13,300 Off on Exchange",4.3
"realme 8 (Cyber Silver, 128 GB)",realme , 8 ,Cyber Silver,8 GB,128 GB,15% off,"₹15,999","Upto ₹15,300 Off on Exchange",4.4
"Infinix Hot 10S (95° Black, 64 GB)",Infinix , Hot 10S , Black,6 GB,64 GB,21% off,"₹10,999","Upto ₹10,450 Off on Exchange",4.3
"Redmi 9 (Carbon Black, 64 GB)",Redmi , 9 ,Carbon Black,4 GB,64 GB,4% off,"₹9,239",,4.2
"Redmi 9 (Sporty Orange, 64 GB)",Redmi , 9 ,Sporty Orange,4 GB,64 GB,17% off,"₹9,100",,4.2
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",Infinix , Smart 4 Plus ,Midnight Black,3 GB,32 GB,20% off,"₹7,999","Upto ₹7,450 Off on Exchange",4.4
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)",Infinix , Smart 4 Plus ,Quetzal Cyan,3 GB,32 GB,20% off,"₹7,999","Upto ₹7,450 Off on Exchange",4.4
KARBONN Jumbo K9,KARBONN , Jumbo K9,,,,,"₹1,290",,4.0
BlackZone B310,BlackZone , B310,,,,14% off,₹729,,3.9
